News,State
"تداولت مواقع إلكترونية خبراً يزعم ""نشوب حريق هائل بالقرب من #مطار_القاهرة الدولي"" منتصف ليل الأحد 28 آذار/مارس الجاري، وأرفق متداولو  صورة تظهر تصاعد الدخان واللهب في شارع.",0
"تنص المادة 267 على أن من واقع أنثى بغير رضاها يُعاقب بالإعدام أو السجن المؤبد.
",1
نشر موقع الحدث التابع لقناة العربية خبراً ورد فيه أن السلطات السودانية رفضت أمس الأربعاء استقبال وفد قطري برئاسة وزير الخارجية محمد بن عبد الرحمن آل ثاني.,0
"بكل شغف يترقب عشاق كرة القدم انطلاق منافسات بطولة كوبا أمريكا 2024، التي تستضيفها الولايات المتحدة الأمريكية فى الفترة من 20 يونيو.
",1
"
التقى المستشار عبد الوهاب عبد الرازق رئيس مجلس الشيوخ، بمكتبه  اليوم الأحد، بسفير دولة موريتانيا لدى القاهرة الحسين سيدي عبد الله الديه.",1
تناقل ناشطون على منصة فيسبوك مقطعاً يدعون أنه لاختراق الإعلامي أليكس جونز للقمة العالمية للحكومات في دبي وشتم الحضور،,0
كشف مصدر مسئول بوزارة الكهرباء والطاقة المتجددة، أنه تم تخصيص 30 مليار دولار لعمل توسعات بالشبكة الكهربائية استعدادا لدمج القدرات المتوقع إضافتها خلال السنوات المقبلة.,1
حصلت الباحثة إبتسام فوزي تميم علي درجة الدكتوراه في الدراسات الإعلامية من قسم البحوث والدراسات الإعلامية بتقدير مرتبة الشرف الأولى.,1
شهدت الحركة المرورية صباح اليوم السبت، انتظاما على كل الطرق والمحاور وميادين القاهرة والجيزة، وانتظمت حركة السيارات على طرق ومحاور الجيزة وفى شوارع النيل السياحى، والهرم والبحر الأعظم..,1
"عزز فريق ريال مدريد صدارة الدوري الإسباني، بتحقيق فوز جديد على ضيفه سيلتا فيجو، بنتيجة 4-0، فى المباراة التي جمعت الفريقين مساء الأحد على ملعب ""سانتياجو برنابيو"" ",1
تتجه أنظار محبى الساحرة المستديرة فى التاسعة مساء اليوم، السبت، لمتابعة مواجهة من العيار الثقيل التى تجمع بين منتخب إنجلترا مع البرازيل على ملعب ويمبلي.,1
"تداولت صفحات ومجموعات إخبارية على مواقع التواصل الاجتماعي اليوم، خبراً يتحدث عن قيام ""شاب عراقي بقتل 18 شخصاً رمياً بالرصاص دفاعاً عن عشيقته في بغداد"".",0
"نشرت عشرات المواقع الإخبارية العربية اليوم السبت، خبراً بعنوان ""ترامب ينحدر من أصول سورية ""، وتضمن الخبر الذي نقلته عدة مواقع و وكالات إخبارية سورية معلومات تقول أن موقع ""ريديت"" الأمريكي،.",0
تداول رواد مواقع التواصل الاجتماعي ادّعاء يزعم ترشيح الباحثة المصرية الهام فضالي لجائزة نوبل في الفيزياء،فما مدى صحة هذا الادّعاء؟ الجواب في المقال التالي،,0
"تداول مستخدمون على مواقع التواصل الاجتماعي صورة جوية لسفينة الحاويات البنمية الجانحة (إيفر غيفين) تقف بشكل مستقيم داخل قناة السويس مع ادعاء بأن ""السفينة لم تعد جانحة"".",0
"يستقر معرض ""رمسيس وذهب الفراعنة"" الذي يضم 180 قطعة أثرية من مقتنيات المتحف المصري بالتحرير، في محطته الرابعة بمدينة سيدني بأستراليا.",1
أعلن الاتحاد الأرجنتيني لكرة القدم بشكل رسمي اليوم الإثنين استبعاد الأسطورة ليونيل ميسي من معسكر التانجو في أمريكا..,1
تتوقع هيئة الأرصاد الجوية، أن يشهد اليوم السبت، انخفاضا طفيفا فى درجات الحرارة على شمال البلاد حتى القاهرة الكبرى وشمال الصعيد ليسود طقس مائل للحرارة نهارا على القاهرة الكبرى..,1
انتشر ادّعاء أن جائحة كورونا ليست كارثة صحية ولم تؤثر على نسب الوفيات في أمريكا.,0
قال نقيب الأشراف السيد محمود الشريف، إن مصر تحت قيادة الرئيس عبد الفتاح السيسي، تعيش تجربة تنموية كبيرة لاستكمال مسيرة الإصلاح، ومواصلة المشروعات القومية العملاقة..,1
تصدر النجم المصري محمد صلاح لاعب ليفربول الإنجليزي قائمة الأهداف المميزة فى مواجهات مانشستر سيتي ما يجعله مرشحًا لترجيح كفة الريدز.,1
"""جوزى بيضربنى ومش عاوز يصرف على العيال، تزوجنا عرفيا ويرفض الاعتراف بالطفلة ، عندى طفلتين كفيفتين وجوزى هرب ومش عاوز يصرف عليهم، بيشرب مخدرات ومش عاوز يصرف علينا وبيضربنى وهددنى بالقتل""",1
" نشرت مواقع إخبارية ومستخدمون في مواقع التواصل الاجتماعي، خبراً يزعم ""منح الجنسية السعودية بأمر من رئيس مجلس الوزراء لمن ولد داخل المملكة من أب أجنبي وأم سعودية""، وذلك في سيا.",0
"كشفت تقارير صحفية إسبانية أن لاعب خط وسط برشلونة بيدري جونزاليس قرر عدم الخضوع لعملية جراحية.
",1
‏ويغنوا وكأنهم في رحلة وهي رحله فلقد تم ترحيلهم الى الهاوية وسقر ولظى #حلل_يا_دويري من تصوير أحد ضباط جيش الإحتلال,0
يتداول ناشطون على فيسبوك ادعاء يزعم أن الأرض ستدخل ما يسمى “ظاهرة الأفيليون” مما سيؤثر بشكل كبير على برودة الطقس،,0
أعلن لويس كاسترو المدير الفني لفريق النصر، الذي يلعب بين صفوفه الدولي البرتغالي كريستيانو رونالدو، التشكيل الرسمي ضد نظيره الحزم، المقرر اقامتها في تمام السابعة,1
تداولت مواقع إخبارية وصفحات وحسابات على مواقع التواصل الاجتماعي منحازة للنظام السوري صوراً في سياق أحداث محافظة درعا الأخيرة.,0
يتداول رواد مواقع التواصل الإجتماعي صورة يزعم ناشروها أنّها تُظهر تمثال اللاعب محمد صلاح في إنجلترا،,0
تناقل ناشطون على منصة فيسبوك صورة لجوليان أسانج، مؤسس موقع ويكيليكس، والمحتجز في سجن بيلمارش الشديد الحراسة قرب لندن، يدعون أنها تظهر أسانج في السجن،,0
أظهرت بيانات الجهاز المركزي للتعبئة العامة والإحصاء، تراجع واردات مصر الاجمالية من الوقود بنهاية العام الماضي 2023.,1
ننشر سعر الريال القطرى أمام الجنيه اليوم الجمعة 15-3-2024، بالبنوك المصرية، والذي سجل فى البنك الأهلي المصري سعر 12.13 جنيه للشراء، و13.13 جنيه للبيع.,1
"شارك المهاجم المصري محمد شريف فى مباراة فريقه الخليج أمام ضيفه الشباب، التي جمعت الفريقين عصر اليوم، السبت، باستاد "" الأمير محمد بن فهد"".",1
انتشرت على مواقع التواصل الاجتماعي صورة تظهر رجل مسلح يقف خلف مرمى كوت ديفوار خلال المباراة التي جمعت بين منتخب الجزائر وكوت ديفوار (ساحل العاج) في كأس الأمم الأفريقية 2021 في الكاميرون، فما حقيقة هذه الصورة؟,0
"يحل فريق أتلتيكو مدريد ضيفًا على فياريال فى التاسعة مساء اليوم، الإثنين، في ختام منافسات الجولة الـ 30 من مسابقة الدوري الإسباني.
",1
"نشرت مواقع وصفحات إخبارية تصريحاً نسبته للممثل المصري يحيى الفخراني خلال لقاء تلفزيوني قال فيه ""أنا سمعت أنو الاخوة بسوريا بقى عندهم بطاقة ذكية عشان ياخدوا عليها عيش( الخبز ) بصيت.",0
"نشر الحساب الرسمي لسلاح الجو الإسرائيلي على منصة إكس اليوم 17 تشرين الأول/أكتوبر الجاري، مقطع فيديو ادعى أنه لـ""ضرب سلاح الجو الإسرائيلي أهدافًا إرهابية وبنية تحتية عسكرية تابعة ل.",0
أكد هشام عبد العزيز، رئيس حزب الإصلاح والنهضة، على أهمية التقدم الذي تحقق في الخطة التنفيذية للإجراءات المُقترحة من الحوار الوطني، الذي استعرضه الدكتور مصطفى مدبولي، رئيس مجلس الوزراء.,1
"  ادّعى موقع (Jannah news) يوم الإثنين 8 تشرين الثاني/ نوفمبر الجاري ""قيام مجموعة من الشبان الموالين برفع علم النظام السوري على دوار الساعة في مدينة الرقة الخاضعة لسيطرة.",0
أصدر الجهاز القومي لتنظيم الاتصالات، تقرير منظومة متابعة شكاوى مستخدمي خدمات الاتصالات عن عام 2023، والذي يعرض أهم المؤشرات..,1
رئيس الوفد اليمني يقول لبشار الاسد اين البراميل والطيران,0
قال اللواء أحمد راشد محافظ الجيزة إن تبادل التهاني والزيارات في المناسبات والأعياد بين أبناء الشعب المصري.,1
"يستضيف فريق مانشستر سيتى الإنجليزى، نظيره كوبنهاجن الدنماركي في إياب دور ثمن النهائي ببطولة دوري أبطال أوروبا والتي ستقام علي ملعب الاتحاد.

",1
ننشر سعر الدينار الكويتي أمام الجنيه المصري اليوم الخميس 4-4-2024، في عدد من البنوك المصرية، مسجلا فى البنك الأهلى المصرى سعر 153.16 جنيه للشراء، و154.20 جنيه للبيع.,1
فى أحداث الحلقة 11 من مسلسل بيت الرفاعى، والذى يُعرض على قناة ON بالتزامن مع عرضه على منصة watch it، ضمن دراما رمضان 2024، ذهب ياسين,1
أعلن مجلس القبائل والعائلات المصرية، عن تنظيم أطول مائدة إفطار بدون طعام، بطول 8 كيلومترات على شاطئ مدينة العريش بشمال سيناء. وتم الإعلان عن عدم وجود طعام,1
تألقت النجمة صابرين فى مسلسل «مسار إجبارى» الذى عرض فى النصف الأول من رمضان الجارى، وقدمت فيه دور الأم بشكل مغاير تماما، وأيضا الأرملة التى تكتشف أنها لها ضرة بشكل مفاجئ,1
بدأت الحلقة السابعة من مسلسل بقينا اتنين، بطولة النجم شريف منير والنجمة رانيا يوسف، باعتراف أدهم أباظة بكذب ابنه مروان عليه منذ 12 عاما، بأنه يلعب ألعابا قتالية، ويوهم والده بأنه يلعب كرة قدم..,1
"تداول مستخدمون لمواقع التواصل الاجتماعي مؤخراً ادعاء بـ ""وفاة والدة لاعب منتخب المغرب لكرة القدم سفيان بوفال"".",0
انتشر على مواقع التواصل الاجتماعي خبر يزعم ناشروه أن مدينة دبي الإماراتية تحتفل بمرور 41 سنة على عدم انقطاع الكهرباء لمدة ثانية واحدة،,0
تداولت مواقع وصفحات إخبارية على مواقع التواصل الاجتماعي، خبراً يدعي اعتقال أحد المجندين في صفوف جيش النظام السوري على خلفية دعوات نشرها عبر حسابه الشخصي بموقع (فيسبوك) للتظاهر احت.,0
"نشر الموقع الرسمي لقناة ""الميادين"" اليوم الأحد خبراً بعنوان ""شهداء في حلب بعد استهداف أحيائها من الجماعات المسلحة""، أرفقه بصورة لشارع تعرض للقصف وقال في وصف الصورة: ""استشهاد سبعة مدنيين بس.",0
"طالب عدد من مشجعى نادي تشيلسي الإنجليزي بعودة المدرب البرتغالي جوزيه مورينيو، مع تزايد الضغط على الأرجنتيني ماوريسيو بوتشيتينو.
",1
"أنهى فريق ريال مدريد أحداث الشوط الأول من مواجهة نظيره فالنسيا، متأخرا بنتيجة 2-1، خلال اللقاء الذي يجمع الفريقين حاليا على ملعب ""ميستايا""..",1
انتشر على موقع التواصل الاجتماعي فيسبوك مقطعًا يظهر فيه الدكتور ماجد العاني مدّعيًا بأن منظمة الصحة العالمية أعلنت أن فيروس كورونا سينتهي في نيسان / إبريل 2021 سواء مع اللقاح أو بدونه.,0
شهد أمس الخميس 29 - 2 - 2024 إقامة عدد قليل من المباريات، أبرزها مواجهات الدوري المصري والسعودي، بالإضافة إلى مباراة أتلتيك بيلباو وضيفه أتلتيكو مدريد..,1
أقر المتهم بقتل سائق بمنطقة بولاق الدكرور وإشعال النيران بجثته أمام جهات التحقيق بارتكاب الجريمة، وبرر فعلته بوجود خلافات مالية بينه وبين المجنى عليه..,1
شهدت مباريات أمس الإثنين اقتراب إنتر ميلان من الفوز بلقب الدوري الإيطالي بعدما حقق فوزًا مستحقًا على حساب أودينيزي بنتيجة 2-1 في المباراة التي أقيمت بينهما..,1
‏نجحت شركة مصر للغزل والنسيج بالمحلة الكبرى، فى إعادة تشغيل مصنع 5  القديم بالإضافة إلى تشغيل جزئي لبعض المصانع الأخرى.,1
هنأت الدكتورة ياسمين فؤاد وزيرة البيئة، الرئيس عبد الفتاح السيسي رئيس الجمهورية، بتولي سيادته ولاية رئاسية جديدة.,1
"قال جمال عبد الرحيم، سكرتير عام نقابة الصحفيين، إن يوم الأرض هو اليوم المجيد فى تاريخ القضية الفلسطينية، مضيفا أن النقابة لم تتوانى فى مساندة الشعب الفلسطينى.

",1
توالت خلال اليومين الفائتين ردود الأفعال الدولية إزاء مقتل زعيم (فيلق القدس) الإيراني قاسم سليماني، ولم تخلُ الأخبار المتعلقة بهذا الحدث من التضليل والمعلومات الملفقة.,0
تحدث الإعلامي التونسي (لطفي غرس) أمس السبت، في بث مباشر عبر صفحته الرسمية بموقع (فيسبوك) مدته 4:43 دقيقة، عن مؤامرة تستهدف العرب والمسلمين، من خلال لقاحات فيروس كورونا (كوفيد - 19) المستجد.,0
أقر قانون التعليم رقم ١٣٩ لسنة ١٩٨١ أن التعليم الأساسي حق لجميع الأطفال المصريين الذين يبلغون السادسة من عمرهم تلتزم الدولة بتوفيره لهم ويلتزم الآباء أو أولياء,1
كشفت تقارير صحفية كشفت أن رابطة الدوري الإنجليزي الممتاز قررت خصم نقطتتين من فريق إيفرتون فى جدول ترتيب الدوري الممتاز..,1
تناقل ناشطون على فيسبوك ادعاء يزعم أن قطر أعلنت مؤخرًا عن حاجتها لـ 250 ألف شخص للعمل في منشآت ومرافق كأس العالم 2022،,0
هنأ النائب الدكتور ناصر عثمان، أمين سر اللجنة الدستورية والتشريعية بمجلس النواب، جموع الشعب المصري، بمناسبة تولي الرئيس عبد الفتاح السيسي، لفترة رئاسية جديدة..,1
شهدت الحركة المرورية صباح اليوم الأربعاء، أول أيام عيد الفطر المبارك، انتظاما وسيولة مرورية على كل الطرق والمحاور وميادين القاهرة والجيزة..,1
"تداولت صفحات و حسابات على مواقع التواصل الاجتماعي أرقاما و إحصائيات نسبوها إلى ""المركز السوري الخاص للإحصاء"" حول أعداد السوريين الذين غادروا البلاد خلال شهر واحد.",0
"تداولت صفحات عامة وحسابات شخصية على مواقع التواصل الاجتماعي، حديثاً، مقطع فيديو يظهر  نيراناً مشتعلة بعدة مركبات في شوارع أحد المدن، وادعت أنه لـ ""انفجار وقع في مدينة تل أبيب.",0
"نشر حساب على منصة ""إكس"" يحمل اسم Dr.",0
" زعمت مواقع إخبارية ومستخدمون على مواقع التواصل الاجتماعي أنَّ ""اليابان أقرَّت قانوناً شبيهاً بعدة الطلاق في الإسلام يمنع المرأة من الزواج لمدة 100 يوم بعد انفصالها عن زوجها ال.",0
تناقل مستخدمون لمنصة فايسبوك صورة للإعلامي المصري “إبراهيم عيسى” ، وادعى ناشروها أنه يرقد في المستشفى إثر تدهور حالته الصحية،,0
تناقل ناشطون على مواقع التواصل مقطعًا يزعمون أنه يظهر تقريرًا مصوّرا يفيد بتدشين أول مسلخٍ للحوم الحمير في ولاية شلف الجزائرية،,0
"أصيب 3 أشخاص، اليوم الأربعاء، بطلقات نارية في قرية أبو حزام بمركز نجع حمادي، شمالي محافظة قنا .

",1
"تداول مستخدمون لمواقع التواصل الاجتماعي خبراً زعم أنّ ""النظام السوري أصدر حكماً بإعدام حوالي مئة تونسي منتمٍ لداعش في سوريا والتنفيذ خلال 48 ساعة"".",0
أعلن اليوم «aiBANK»، البنك الرائد في مصر والمتخصص في تقديم باقة متكاملة من الحلول المصرفية للأفراد والشركات والخدمات المصرفية التجارية والمتوافقة مع أحكام الشريعة الإسلامية.,1
شهد تشكيل الأهلي لمباراة سيمبا الليلة بدوري الأبطال أكثر من مفاجآة لم يتوقعها البعض من جمهور الأهلي الي يترقب مباراة  سيمبا التنزانى,1
قال اللواء دكتور رضا فرحات نائب رئيس حزب المؤتمر أستاذ العلوم السياسية إن زيارة وزير الخارجية الأمريكى لمصر واجتماعه مع وزراء خارجية مصر.,1
انتشرت في مواقع التواصل الاجتماعي صور تظهر طفلا مبتسما بأسنان كاملة كأنه شخص بالغ،,0
" نشرت حسابات إخبارية ومستخدمون في مواقع التواصل الاجتماعى بتاريخ اليوم 25 آذار/مارس الجاري صورا وتسجيلاً مصوراً تزعم أنها ""من قصف الميليشيات الإيرانية على قاعدتيّ التحالف الد.",0
"تداولت حسابات على مواقع التواصل الاجتماعي، حديثاً، صوراً تظهر انفجارات ليلية و نيراناً و تصاعد كثيف للدخان، وادعى الناشرون أنها لـ ""هجوم استهدف القاعدة الأمريكية في حقل العمر النف.",0
"نجحت الدخلية في ضبط أحد الأشخاص بالمنيا لقيامه بالإستيلاء على بيانات بطاقات الدفع الإلكترونى من المواطنين وإستغلالها فى إجراء عمليات شراء من مواقع التسوق الإلكترونى.

",1
"عبد السلام الحموي انتشر على شبكة الإنترنت مؤخراً مقطع فيديو يَظهر فيه مجموعة من رجال الشرطة الفرنسية يلقون الأصفاد على الأرض بشكل جماعي، وزعم ناشرو التسجيل أنّه صُوِر ""خلال.",0
"نشرت صفحات وحسابات على مواقع التواصل الاجتماعي مقطعاً مصوراً يُظهر مكتبة ضخمة مليئة بالكتب المصفوفة على جدار مرتفع، زعم ناشروها أنها تظهر ""مكتبة في منغوليا فيها كتب بغداد التي نهبها.",0
تمتلك مصر العديد من المحالج، والتي تمت إقامتها أواخر عام 1870 في العديد من المحافظات، والتي استمرت في أداء دورها خلال فترة الاحتلال الإنجليزى، واستمرت في العمل وتوسعت..,1
انتشر فيديو يظهر فيه صاروخ وهو يصيب موقع الانفجار موضحًا أنّ سقوط الصاروخ هو سبب حدوث انفجار بيروت.,0
أكد المهندس علاء السقطي، رئيس جمعية مستثمرى المشروعات المتوسطة والصغيرة، أن حفل تنصيب الرئيس عبد الفتاح السيسي اليوم شكل خطوة لاستكمال مسيرة التنمية,1
"تداولت صفحات وحسابات عامة بمواقع التواصل الاجتماعي منشورات ادعت أن ""شبكة CNN أعلنت من مقتل أول أميركي في أوكرانيا وهو ذات الشخص الذي أعلنت أنه أول أمريكي يقتل في أفغانستان""، وتراف.",0
مع ترقب العالم لحدث الكسوف الكلي للشمس في الثامن من نيسان/أبريل من العام الجاري، يتداول العديد من مستخدمي مواقع التواصل الاجتماعي وعدد من المواقع الإلكترونية الأخرى ادعاءات مضللة.,0
انتشر في مواقع التواصل الاجتماعي خبر يزعم ناشروه أن الحكم الغامبي “بكاري جاساما” تعرض للاغتيال على يد مشجعين في فرنسا، ,0
نشرت صفحات وحسابات سورية على مواقع التواصل الاجتماعي خبراً يدعي أن لونا الشبل -المستشارة الإعلامية لبشار الأسد- أدلت بتصريحات هاجمت خلالها الأشخاص الذين ينتقدون الظروف الاقتصادية ال.,0
شهدت الجلسة العامة لمجلس الشيوخ، اليوم الإثنين، برئاسة المستشار عبد الوهاب عبد الرازق، ممازحة طريفة من رئيس المجلس خلال مناقشة طلب مناقشة عامة، مقدم من النائب شريف الجابرى، وأكثر من عشرين عضوا..,1
"يستضيف فريق باريس سان جيرمان نظيره ستاد ريمس، ظهر اليوم الأحد، في إطار مواجهات الجولة الخامسة والعشرين من منافسات الدوري الفرنسي.
",1
يتداول رواد مواقع التواصل الاجتماعي صورة مبنى ضخم يزعم ناشروها أنه يظهر عمارة شعبية في الصين، فما حقيقة هذه الصورة؟ تابع المقال الآتي..,0
"تقام في التاسعة والربع مساء اليوم الخميس، مواجهة قوية بين تشيلسي ومانشستر يونايتد في قمة الجولة 31 من مسابقة الدوري الإنجليزي

",1
كشف المعهد القومى للتغذية عن مجموعة من النصائح الغذائية لعدم زيادة الوزن فى شهر رمضان.,1
"أحرز رودريجو دي بول، لاعب فريق أتلتيكو مدريدالهدف الأول فى شباك نظيره بوروسيا دورتموند، بالدقيقة السادسة من بداية المباراة المقامة فى ذهاب الدور ربع النهائي لمسابقة دوري أبطال أوروبا.
",1
"يخوض مانشستر سيتى بقيادة مدربه بيب جوارديولا، مواجهات قوية فى الجولات المتبقية من مسابقة الدوري الإنجليزي الممتاز بالموسم الجارى 2023-2024، وذلك بعدما حسم الديربى على حساب مانشستر يونايتد.
",1
"كشفت تقارير صحفية، عن أن البرازيلي رومارينيو دا سيلفا لاعب فريق اتحاد جدة السعودي استقر على بالرحيل عن الفريق في نهاية الموسم الجاري..


",1
تداول مستخدمو مواقع التواصل الاجتماعي عدة مقاطع فيديو مجتزأة يظهر فيها فيما يبدو أن عملية هبوط الإنسان على سطح القمر صوّرت على كوكب الأرض، وأن أمريكا لفقت عملية الهبوط لتبدو حقيقة،,0
"يملك نادي ريال مدريد الإسباني مسيرة طويلة من الانجازات فى تاريخ بطولة دوري أبطال أوروبا، كونه هو الفريق الأكثر تتويجاً بلقب ""ذات الأذنين""، بواقع 14 لقبا بداية من أول 5 ألقاب..",1
أكد سياسيون ونواب، أن الحرص الحكومي على تنفيذ تتوصيات المرحلة الأولى للحوار الوطن بالتنسيق مع مسئولي الوزارات المعنية، عن تنفيذ هذه المخرجات بصورة مباشرة,1
تغلب نادي ليفربول، المحترف ضمن صفوفه النجم المصري محمد صلاح،على حساب ضيفه فريق شيفيلد يونايتد، بثلاثة أهداف مقابل هدف، في المباراة التي جمعتهما مساء الخميس..,1
ظهرت محطة مترو وادي النيل ضمن الجزء الثالث من المرحلة الثالثة للخط الثالث للمترو، والذى يمتد بطول 7.1 كيلو متر من محطة الكيت كات حتى جامعة القاهرة مرورًا بشارع وادى النيل وجامعة الدول..,1
